<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.04	04:15:00	1.05032	1.05070	1.05023	1.05058	1138	0	2
2024.12.04	04:30:00	1.05058	1.05073	1.05002	1.05011	1295	0	2
2024.12.04	04:45:00	1.05011	1.05020	1.04977	1.05002	836	0	2
2024.12.04	05:00:00	1.05002	1.05006	1.04934	1.04957	993	0	2
2024.12.04	05:15:00	1.04957	1.04981	1.04917	1.04923	793	0	2
2024.12.04	05:30:00	1.04924	1.04941	1.04879	1.04924	1021	0	2
2024.12.04	05:45:00	1.04924	1.04946	1.04914	1.04937	695	0	2
2024.12.04	06:00:00	1.04937	1.05003	1.04908	1.05003	1051	0	2
2024.12.04	06:15:00	1.05003	1.05040	1.05003	1.05035	990	0	2
2024.12.04	06:30:00	1.05035	1.05086	1.05024	1.05086	695	0	2
2024.12.04	06:45:00	1.05086	1.05137	1.05073	1.05109	750	0	2
2024.12.04	07:00:00	1.05109	1.05129	1.05095	1.05123	788	0	2
2024.12.04	07:15:00	1.05123	1.05159	1.05120	1.05154	779	0	2
2024.12.04	07:30:00	1.05154	1.05203	1.05153	1.05170	728	0	2
2024.12.04	07:45:00	1.05170	1.05189	1.05147	1.05150	761	0	2
2024.12.04	08:00:00	1.05150	1.05153	1.05107	1.05119	758	0	2
2024.12.04	08:15:00	1.05119	1.05157	1.05103	1.05140	891	0	2
2024.12.04	08:30:00	1.05140	1.05184	1.05128	1.05179	833	0	2
2024.12.04	08:45:00	1.05179	1.05291	1.05179	1.05229	1203	0	2
2024.12.04	09:00:00	1.05229	1.05266	1.05154	1.05156	1500	0	2
2024.12.04	09:15:00	1.05157	1.05189	1.05122	1.05128	1600	0	2
2024.12.04	09:30:00	1.05128	1.05152	1.05083	1.05135	1432	0	2
2024.12.04	09:45:00	1.05135	1.05154	1.05073	1.05090	1414	0	2
2024.12.04	10:00:00	1.05089	1.05149	1.05062	1.05079	1898	0	2
2024.12.04	10:15:00	1.05079	1.05109	1.05031	1.05038	1896	0	2
2024.12.04	10:30:00	1.05036	1.05038	1.04984	1.04997	1532	0	2
2024.12.04	10:45:00	1.04996	1.04996	1.04903	1.04912	1627	0	2
2024.12.04	11:00:00	1.04912	1.04935	1.04825	1.04904	2525	0	2
